id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
1,户型方方正正 满五年就一套 视野开阔直观汇文中学,保利蔷薇 , 2室2厅 , 88.63平米 ,58人关注 , 共27次带看 , 19天以前发布,960,单价108316元/平米,东城,"116.442531,39.89667"
2,禾风相府 南北通透 三居室 前后花园 人车分流,禾风相府 , 3室2厅 , 163.83平米 ,247人关注 , 共115次带看 , 6个月以前发布,1801,单价109932元/平米,东城,"116.428303,39.929284"
3,金鱼池南北通透大复式 正对花园、视野好 诚心出售,金鱼池中区 , 4室2厅 , 135.91平米 ,166人关注 , 共54次带看 , 1个月以前发布,950,单价69900元/平米,东城,"116.415431,39.896044"
4,天娇园商品房 朝东2居 对小区花园 拎包入住,天娇园 , 2室2厅 , 91.48平米 ,61人关注 , 共41次带看 , 27天以前发布,850,单价92917元/平米,东城,"116.445751,39.903761"
5,南北通透三居室 和平里一小 中间楼层 满五年,和平里三区 , 2室1厅 , 71.92平米 ,39人关注 , 共51次带看 , 23天以前发布,800,单价111235元/平米,东城,"116.427002,39.962219"
6,六铺炕 3室1厅 810万,六铺炕 , 3室1厅 , 72.84平米 ,72人关注 , 共59次带看 , 22天以前发布,810,单价111203元/平米,东城,"116.400533,39.962226"
7,划片花市小学 满五年无个税 正规一居  随时可看,东花市北里中区 , 1室1厅 , 48.72平米 ,39人关注 , 共28次带看 , 30天以前发布,450,单价92365元/平米,东城,"116.439746,39.905443"
8,南岗子南北小两居 精装修 无抵押 无贷款 卖房变现,南岗子 , 2室1厅 , 57.87平米 ,51人关注 , 共33次带看 , 17天以前发布,535,单价92449元/平米,东城,"116.434155,39.893704"
9,满五年业主名下仅有的一套商品房   产权清晰无抵押,富莱茵花园 , 2室1厅 , 64.16平米 ,99人关注 , 共30次带看 , 14天以前发布,435,单价67800元/平米,东城,"116.414452,39.866869"
10,把角全凸三居室 双卧室朝南 户型方正无浪费 有储藏间,安化北里 , 3室1厅 , 80.34平米 ,169人关注 , 共83次带看 , 1个月以前发布,730,单价90864元/平米,东城,"116.441608,39.898639"
11,东城区 09年新小区 正规两居室 业主诚心出售,华龙美晟 , 2室1厅 , 78.79平米 ,345人关注 , 共108次带看 , 3个月以前发布,518,单价65745元/平米,东城,"116.411858,39.869364"
12,满五年住宅 没有个税 可改三居室,海晟名苑 , 2室1厅 , 140.53平米 ,36人关注 , 共76次带看 , 1个月以前发布,1550,单价110297元/平米,东城,"116.447783,39.94387"
13,沙子口路70号 2室1厅 450万,沙子口路70号 , 2室1厅 , 58.83平米 ,77人关注 , 共46次带看 , 1个月以前发布,450,单价76492元/平米,东城,"116.412689,39.867798"
14,协和医院 灯市口近 166中学 带电梯,小羊宜宾胡同 , 2室1厅 , 61.77平米 ,114人关注 , 共119次带看 , 2个月以前发布,650,单价105230元/平米,东城,"116.437281,39.918733"
