id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经度,纬度
1,户型方方正正 满五年就一套 视野开阔直观汇文中学,保利蔷薇 , 2室2厅 , 88.63 ,58,27, 19天以前发布,960.0,108316,东城,116.442531,39.89667
2,禾风相府 南北通透 三居室 前后花园 人车分流,禾风相府 , 3室2厅 , 163.83 ,247,115, 6个月以前发布,1801.0,109932,东城,116.428303,39.929284
3,金鱼池南北通透大复式 正对花园、视野好 诚心出售,金鱼池中区 , 4室2厅 , 135.91 ,166,54, 1个月以前发布,950.0,69900,东城,116.415431,39.896044
4,天娇园商品房 朝东2居 对小区花园 拎包入住,天娇园 , 2室2厅 , 91.48 ,61,41, 27天以前发布,850.0,92917,东城,116.445751,39.903761
5,南北通透三居室 和平里一小 中间楼层 满五年,和平里三区 , 2室1厅 , 71.92 ,39,51, 23天以前发布,800.0,111235,东城,116.427002,39.962219
6,六铺炕 3室1厅 810万,六铺炕 , 3室1厅 , 72.84 ,72,59, 22天以前发布,810.0,111203,东城,116.400533,39.962226
7,划片花市小学 满五年无个税 正规一居  随时可看,东花市北里中区 , 1室1厅 , 48.72 ,39,28, 30天以前发布,450.0,92365,东城,116.439746,39.905443
8,南岗子南北小两居 精装修 无抵押 无贷款 卖房变现,南岗子 , 2室1厅 , 57.87 ,51,33, 17天以前发布,535.0,92449,东城,116.434155,39.893704
9,满五年业主名下仅有的一套商品房   产权清晰无抵押,富莱茵花园 , 2室1厅 , 64.16 ,99,30, 14天以前发布,435.0,67800,东城,116.414452,39.866869
10,把角全凸三居室 双卧室朝南 户型方正无浪费 有储藏间,安化北里 , 3室1厅 , 80.34 ,169,83, 1个月以前发布,730.0,90864,东城,116.441608,39.898639
11,东城区 09年新小区 正规两居室 业主诚心出售,华龙美晟 , 2室1厅 , 78.79 ,345,108, 3个月以前发布,518.0,65745,东城,116.411858,39.869364
12,满五年住宅 没有个税 可改三居室,海晟名苑 , 2室1厅 , 140.53 ,36,76, 1个月以前发布,1550.0,110297,东城,116.447783,39.94387
13,沙子口路70号 2室1厅 450万,沙子口路70号 , 2室1厅 , 58.83 ,77,46, 1个月以前发布,450.0,76492,东城,116.412689,39.867798
14,协和医院 灯市口近 166中学 带电梯,小羊宜宾胡同 , 2室1厅 , 61.77 ,114,119, 2个月以前发布,650.0,105230,东城,116.437281,39.918733
15,东城区 满五年 交通便利 南北通透 诚心出售,西革新里110号院 , 2室1厅 , 61.4 ,333,76, 3个月以前发布,400.0,65147,东城,116.396844,39.872512
16,小羊宜宾胡同 4室1厅 910万,小羊宜宾胡同 , 4室1厅 , 93.81 ,73,61, 1个月以前发布,910.0,97005,东城,116.437281,39.918733
17,东城 东直门外三居  公房满五年 有钥匙,东直门外斜街 , 3室1厅 , 65.42 ,175,46, 1个月以前发布,520.0,79487,东城,116.446972,39.950006
18,南北两居室，板厂小学   看房随时   带车位,夕照寺西里 , 2室1厅 , 54.19 ,194,61, 3个月以前发布,520.0,95959,东城,116.446244,39.897173
19,都市馨园三居室    南北通透    商品房  前后不临街,兴隆都市馨园 , 3室2厅 , 130.7 ,315,63, 4个月以前发布,980.0,74981,东城,116.420099,39.901616
20,什锦花园 精装南北通透两居室 明厨明卫 户型好 视野好,什锦花园胡同21号院 , 2室1厅 , 48 ,75,55, 1个月以前发布,650.0,135417,东城,116.421058,39.93627
21,水上华城东西通透全明格局观景两居阳台不算面积,水上华城 , 2室2厅 , 113 ,24,24, 27天以前发布,1160.0,102655,东城,116.448783,39.894213
22,崇文小学新景家园东西通透三居诚意出售,新景家园东区 , 3室1厅 , 92.28 ,55,28, 23天以前发布,960.0,104032,东城,116.432142,39.902354
23,天天家园 2室1厅 939万,天天家园 , 2室1厅 , 125.02 ,326,115, 4个月以前发布,939.0,75108,东城,116.411885,39.87098
24,东北两居，整个国瑞城仅有14套，有钥匙随时看房。,国瑞城中区 , 2室2厅 , 91.13 ,12,20, 12天以前发布,900.0,98761,东城,116.429352,39.904538
25,什锦花园胡同21号院 1室0厅 460万,什锦花园胡同21号院 , 1室0厅 , 34.6 ,50,26, 11天以前发布,460.0,132948,东城,116.421058,39.93627
26,满五年家庭就此一套房产 电梯房管理好 单独管理,上龙西里 , 3室1厅 , 80.37 ,42,33, 7天以前发布,750.0,93319,东城,116.412788,39.958761
27,安定门  朝西向大两居室  楼龄新  满五年,西营房 , 2室1厅 , 85.1 ,257,90, 4个月以前发布,730.0,85782,东城,116.409688,39.958188
28,满五年家庭名下只有一套住房，有电梯,东直门内北小街16号 , 2室2厅 , 89.74 ,50,19, 25天以前发布,860.0,95833,东城,116.432396,39.951803
29,花市枣苑商品房独立封闭小区带大型花园全南两居室,花市枣苑二期 , 2室1厅 , 115 ,30,54, 2个月以前发布,1190.0,103479,东城,116.435751,39.902151
30,商品一居 正对花园 采光充足 视野开阔 业主诚售,新景家园东区 , 1室1厅 , 59.5 ,70,56, 1个月以前发布,660.0,110925,东城,116.432142,39.902354
31,花市枣苑二期两居两卫，满五年无个税，有钥匙,花市枣苑二期 , 2室1厅 , 121.87 ,6,22, 2个月以前发布,1100.0,90261,东城,116.435751,39.902151
32,朝阳门内大街 2室1厅 560万,朝阳门内大街 , 2室1厅 , 69.33 ,79,29, 1个月以前发布,560.0,80774,东城,116.435758,39.930641
33,安定门 04年商品房 满五年唯壹 有钥匙 业主诚售,中景濠庭 , 1室1厅 , 74.21 ,38,87, 1个月以前发布,630.0,84895,东城,116.405688,39.957686
34,东花市北里西区 1室1厅 455万,东花市北里西区 , 1室1厅 , 49.71 ,383,86, 11个月以前发布,455.0,91531,东城,116.435236,39.90518
35,新景家园东区 2室1厅 830万,新景家园东区 , 2室1厅 , 80.46 ,54,38, 16天以前发布,830.0,103157,东城,116.432142,39.902354
36,青年湖东里 2室1厅 720万,青年湖东里 , 2室1厅 , 63.79 ,100,53, 6个月以前发布,720.0,112871,东城,116.413053,39.962564
37,小黄庄一区 98年建成 双南向 采光好 ,小黄庄一区 , 1室1厅 , 95.28 ,22,47, 11天以前发布,950.0,99707,东城,116.416187,39.969551
38,文津世家 3室2厅 1800万,文津世家 , 3室2厅 , 160 ,73,8, 25天以前发布,1800.0,112500,东城,116.420268,39.949318
39,歌剧院家属楼，双南向两居室，采光好。,东中街 , 2室1厅 , 62.56 ,17,17, 13天以前发布,690.0,110295,东城,116.443175,39.941889
40,北官厅胡同2号院 1室1厅 540万,北官厅胡同2号院 , 1室1厅 , 41.63 ,38,17, 12天以前发布,540.0,129715,东城,116.434147,39.953592
41,海晟国际公寓 1室0厅 530万,海晟国际公寓 , 1室0厅 , 46.48 ,27,13, 11天以前发布,530.0,114028,东城,116.448623,39.945062
42,东直门内北小街8号院 2室1厅 850万,东直门内北小街8号院 , 2室1厅 , 83.87 ,28,41, 1个月以前发布,850.0,101348,东城,116.432388,39.95399
43,花市小学 本家润园三期 高楼层 不临街 满五年,本家润园三期 , 2室1厅 , 64.54 ,58,51, 1个月以前发布,610.0,94516,东城,116.44366,39.903303
44,琉璃井东街  南北两居室  户型方正 无遮挡,琉璃井东街 , 2室1厅 , 57.24 ,106,30, 1个月以前发布,450.0,78617,东城,116.41658,39.87503
45,东城天天家园两居 中间层电梯直达 视野好,天天家园 , 2室1厅 , 106.6 ,107,13, 20天以前发布,650.0,60976,东城,116.411885,39.87098
46,东直门内大街 南向一居室 楼层高 视野开阔 阳光充足 ,东直门内大街 , 1室1厅 , 60.01 ,82,6, 23天以前发布,660.0,109982,东城,116.435511,39.946194
47,前门东大街 南北通透三居 户型方正 无浪费 采光好,前门东大街 , 3室0厅 , 70 ,125,16, 30天以前发布,605.0,86429,东城,116.416214,39.906904
48,中间楼层，近协和医院，南北两居室，东单，灯市口,西总布胡同55号院 , 2室1厅 , 54.86 ,70,19, 21天以前发布,585.0,106636,东城,116.426157,39.918525
49,培新街乙5号院 东西通透两居 精装修 税费低,培新街乙5号院 , 2室1厅 , 69.03 ,24,12, 17天以前发布,750.0,108649,东城,116.439371,39.896367
50,东直门民安小区南北通透三居室出售无遮挡随时签约,民安小区东直门内北小街 , 3室1厅 , 97.14 ,83,13, 19天以前发布,1150.0,118386,东城,116.432862,39.948968
51,法华南里 1室1厅 440万,法华南里 , 1室1厅 , 42.91 ,78,14, 26天以前发布,440.0,102541,东城,116.434144,39.892211
52,东城北二环 商品房小区 人车分流 高层两居室无遮挡 ,巷上嘉园 , 2室1厅 , 103.37 ,28,4, 14天以前发布,1185.0,114637,东城,116.406466,39.957716
53,北竹杆胡同 2室1厅 800万,北竹杆胡同 , 2室1厅 , 76.76 ,11,3, 6天以前发布,800.0,104221,东城,116.435282,39.929418
54,北二环一一东城安定门一一复式结构经典房,京宝花园 , 2室1厅 , 162.24 ,15,35, 21天以前发布,1050.0,64719,东城,116.414015,39.959857
55,西向 两居室 视野好  商品房 高层,丽水湾畔家园 , 2室1厅 , 130 ,18,14, 1个月以前发布,1100.0,84616,东城,116.449403,39.900818
56,封闭式小区，商品房社区，观花园，只要契税,新景家园西区 , 2室1厅 , 92.75 ,29,27, 1个月以前发布,920.0,99192,东城,116.428467,39.902511
57,东革新里 40号院 南北 2居室 采光好,东革新里40号院 , 2室1厅 , 58.03 ,128,34, 1个月以前发布,395.0,68069,东城,116.403511,39.872127
58,民旺园2居室 户型好 视野好 不临街,民旺园 , 2室1厅 , 47.84 ,112,38, 4个月以前发布,550.0,114967,东城,116.43343,39.958449
59,二环内南北通透三居室、地铁房、,新景家园西区 , 3室1厅 , 91.06 ,108,25, 6个月以前发布,960.0,105425,东城,116.428467,39.902511
60,六铺炕 2室1厅 599万,六铺炕 , 2室1厅 , 50.34 ,123,48, 1个月以前发布,599.0,118991,东城,116.400533,39.962226
61,东大街小户型，推荐婚房，全天采光，无遮挡,崇文门东大街 , 1室1厅 , 40.2 ,20,11, 27天以前发布,460.0,114428,东城,116.433321,39.906309
62,法华南里 中间楼层  东向一居室 全明格局,法华南里 , 1室1厅 , 45.52 ,24,16, 22天以前发布,450.0,98858,东城,116.434144,39.892211
63,万国城MOMA 3室1厅 1590万,万国城MOMA , 3室1厅 , 140.06 ,15,2, 19天以前发布,1590.0,113523,东城,116.444857,39.954789
64,东直门民安小区全东向四居复式，满五年 安静舒适,民安小区东直门内北小街 , 4室2厅 , 142.18 ,34,3, 16天以前发布,1200.0,84401,东城,116.432862,39.948968
65,广渠门内大街 3室1厅 581万,广渠门内大街 , 3室1厅 , 70 ,8,3, 11天以前发布,581.0,83000,东城,116.448316,39.900192
66,民安小区东直门北中街 2室1厅 820万,民安小区东直门北中街 , 2室1厅 , 71.49 ,48,13, 12天以前发布,820.0,114702,东城,116.435611,39.948432
67,东城南北通透三居室 和平里四小划片,民旺园 , 3室1厅 , 66 ,46,8, 10天以前发布,718.0,108788,东城,116.43343,39.958449
68,九三学园 精装全明三居 南北通透楼龄新 满五税费少,小黄庄二区 , 3室1厅 , 72.39 ,53,7, 9天以前发布,700.0,96699,东城,116.417993,39.970747
69,地兴居 3室1厅 650万,地兴居 , 3室1厅 , 65.47 ,20,8, 8天以前发布,650.0,99283,东城,116.407787,39.957288
70,龙潭公园 两室一厅 满五年 楼层高 视野好,左安漪园 , 2室1厅 , 83.34 ,92,54, 7个月以前发布,780.0,93593,东城,116.4471,39.879796
71,东城区、免个税、大四居、高层观景房。,美惠大厦 , 4室2厅 , 253.03 ,15,25, 1个月以前发布,1650.0,65210,东城,116.444157,39.935985
72,中间楼层 西南北三居室 免个税,南水关 , 3室1厅 , 102.09 ,62,45, 3个月以前发布,900.0,88158,东城,116.447436,39.897461
73,万国城MOMA，方正户型，东向三居室,万国城MOMA , 3室2厅 , 158.29 ,22,32, 18天以前发布,1600.0,101081,东城,116.444857,39.954789
74, 地铁七号线  业主诚心出售  高楼层 视野好,金世纪嘉园 , 2室1厅 , 116.89 ,81,63, 3个月以前发布,950.0,81273,东城,116.4515,39.904606
75,绿景馨园 3室1厅 850万,绿景馨园 , 3室1厅 , 81.9 ,137,33, 1个月以前发布,850.0,103786,东城,116.447756,39.896508
76,满五年免个税 正规南北三居室 精装修,幸福南里 , 3室1厅 , 66 ,57,31, 3个月以前发布,680.0,103031,东城,116.438842,39.89084
77,南北通两居室，中高楼层，采光视野没有遮挡。,大方家胡同 , 2室1厅 , 76.42 ,65,32, 4个月以前发布,790.0,103377,东城,116.435132,39.92546
78,富贵园商品三居室 南北通透 满五年 有车位 带储藏室,富贵园一区 , 3室2厅 , 144.45 ,82,38, 1个月以前发布,1650.0,114227,东城,116.440069,39.902423
79,小黄庄一区+南北通透+满五年公房,小黄庄一区 , 2室1厅 , 59.01 ,38,65, 15天以前发布,620.0,105067,东城,116.416187,39.969551
80,阳照胡同 低楼层南北两居室 带租赁车位 独立小院,阳照胡同 , 2室1厅 , 60.06 ,9,0, 7天以前发布,450.0,74926,东城,116.435212,39.919736
81,培新小学，中高层，对花园，2008年商品房,北京上舍 , 1室0厅 , 61.2 ,40,82, 3个月以前发布,580.0,94772,东城,116.442558,39.897106
82,东中街 商品房 复式结构 史家实验小学  满五年,东中街 , 4室1厅 , 200.77 ,146,50, 2个月以前发布,1770.0,88161,东城,116.443175,39.941889
83,雍和家园 东南三居 采光好 视野好 交通便利,雍和家园一期 , 3室2厅 , 158.38 ,29,4, 27天以前发布,1620.0,102286,东城,116.426255,39.956607
84,商品房大复式户型方正，地下温泉入户,花市枣苑一期 , 3室2厅 , 189.41 ,19,18, 一年前发布,1800.0,95032,东城,116.435751,39.902151
85,兴化西里南北三居，满五年税费少，诚心出售,兴化西里 , 3室1厅 , 71.68 ,59,14, 1个月以前发布,438.0,61105,东城,116.417203,39.966191
86,新上花市枣苑 西北对花园两居 精装修,花市枣苑三期 , 2室2厅 , 102.02 ,23,27, 2个月以前发布,1100.0,107822,东城,116.435751,39.902151
87,满五年住房 精装修可以直接入住 室内3米挑高,东直门内大街 , 2室2厅 , 80.52 ,197,36, 2个月以前发布,880.0,109290,东城,116.435511,39.946194
88,大复式  阳光房  精装修  景山学校,民安小区民安街 , 3室2厅 , 110.16 ,52,13, 1个月以前发布,1380.0,125273,东城,116.437676,39.950331
89,史家小学 满五年 小两居  电梯楼高层  金宝街上,朝阳门南小街 , 2室1厅 , 63.76 ,90,26, 2个月以前发布,760.0,119197,东城,116.433451,39.923705
90,灯市口，东单，邻近协和医院，中间楼层，东南向三居室,西总布胡同55号院 , 3室1厅 , 66.58 ,90,24, 4个月以前发布,750.0,112647,东城,116.426157,39.918525
91,东城区 悠胜美苑  45平复式 三居室 看房方便 随时签约,悠胜美苑 , 1室1厅 , 44.31 ,31,10, 24天以前发布,550.0,124126,东城,116.400105,39.869503
92,新世界家园 3室2厅 1580万,新世界家园 , 3室2厅 , 129.63 ,11,9, 27天以前发布,1580.0,121886,东城,116.423741,39.90101
93,海晟名苑 2室1厅 1430万,海晟名苑 , 2室1厅 , 119.37 ,8,8, 20天以前发布,1430.0,119796,东城,116.447783,39.94387
94,新怡家园 南向一居室 高楼层 采光充足,新怡家园 , 1室1厅 , 83.69 ,14,12, 18天以前发布,1150.0,137412,东城,116.421081,39.904828
95,金世纪嘉园 西南北一居  无遮挡,金世纪嘉园 , 1室1厅 , 66.91 ,21,9, 21天以前发布,590.0,88179,东城,116.4515,39.904606
96,安外大街 2室1厅 560万,安外大街 , 2室1厅 , 68.23 ,33,18, 20天以前发布,560.0,82076,东城,116.414549,39.97239
97,国瑞城中区 紧靠商品房小区 西北两居室,国瑞城中区 , 2室1厅 , 84.06 ,3,14, 19天以前发布,810.0,96360,东城,116.429352,39.904538
98,东环居苑 1室1厅 620万,东环居苑 , 1室1厅 , 65.08 ,28,15, 17天以前发布,620.0,95268,东城,116.45208,39.904622
99,远洋德邑 1室1厅 600万,远洋德邑 , 1室1厅 , 60.36 ,50,6, 17天以前发布,600.0,99404,东城,116.452901,39.901073
100,景山学校划片 全南向复式可改三居 满五年 精装修,东直门内大街 , 2室2厅 , 110.1 ,21,9, 17天以前发布,1250.0,113534,东城,116.435511,39.946194
101,满五年北京家庭只有这一套房子，高楼层无遮挡，精装修,永定门东街中里 , 2室0厅 , 49.35 ,114,10, 26天以前发布,385.0,78015,东城,116.41449,39.879802
102,桃园南街10号院 2室1厅 460万,桃园南街10号院 , 2室1厅 , 61.66 ,48,6, 16天以前发布,460.0,74603,东城,116.407316,39.876396
103,东直门华冠丽景 南通通透三居 交通便利 ,华冠丽景 , 3室2厅 , 144.75 ,40,5, 14天以前发布,1875.0,129534,东城,116.432937,39.951953
104,上龙西里 1室1厅 700万,上龙西里 , 1室1厅 , 54.96 ,10,2, 7天以前发布,700.0,127366,东城,116.412788,39.958761
105,西营房 3室1厅 850万,西营房 , 3室1厅 , 102.41 ,48,1, 10天以前发布,850.0,83000,东城,116.409688,39.958188
106,富贵园一区 1室1厅 720万,富贵园一区 , 1室1厅 , 63.18 ,16,2, 9天以前发布,720.0,113961,东城,116.440069,39.902423
107,东直门    东中街   南北两居室 低楼层,东中街 , 2室1厅 , 68.27 ,15,3, 8天以前发布,800.0,117182,东城,116.443175,39.941889
108,和平里一区 2室1厅 490万,和平里一区 , 2室1厅 , 43.63 ,32,3, 4天以前发布,490.0,112309,东城,116.426526,39.964952
109,景泰嘉园 3室1厅 740万,景泰嘉园 , 3室1厅 , 108.75 ,42,1, 8天以前发布,740.0,68046,东城,116.419009,39.87095
110,花市枣苑三期 1室0厅 530万,花市枣苑三期 , 1室0厅 , 45.53 ,30,27, 3个月以前发布,530.0,116407,东城,116.435751,39.902151
111,东堂子胡同 3室0厅 600万,东堂子胡同 , 3室0厅 , 65.67 ,68,51, 30天以前发布,600.0,91366,东城,116.430787,39.920829
112,东直门民安小区西向两居室复式可改三居,民安小区东羊管胡同 , 2室2厅 , 109.01 ,33,55, 18天以前发布,1100.0,100909,东城,116.437841,39.948704
113,左安浦园 2室1厅 575万,左安浦园 , 2室1厅 , 82.29 ,228,40, 8个月以前发布,575.0,69875,东城,116.444673,39.880008
114,交通便利 南向 高层两居 无遮挡 采光好,西营房 , 2室1厅 , 86.2 ,174,31, 2个月以前发布,830.0,96288,东城,116.409688,39.958188
115,文汇小学 南北通透 格局方正 双卫设计,京城仁合 , 2室2厅 , 114.51 ,85,42, 3个月以前发布,1100.0,96062,东城,116.44905,39.903129
116,东城区房源 西南向三居 两间卧室朝南户型好,建予园 , 3室1厅 , 111.99 ,255,55, 5个月以前发布,670.0,59827,东城,116.402567,39.869745
117,人定湖公园=塔楼24小时电梯=小区安静人员素质高,安德里北街25号院 , 3室1厅 , 81.9 ,114,48, 6个月以前发布,820.0,100123,东城,116.394978,39.963326
118,东华门大街 东西通透 全明格局两居室,东华门大街 , 2室1厅 , 60.3 ,137,26, 1个月以前发布,640.0,106136,东城,116.411331,39.92122
119,金鱼池下跃四居 天坛商圈 有车位 精装自住诚售,金鱼池西区 , 4室2厅 , 117 ,229,23, 3个月以前发布,878.0,75043,东城,116.413838,39.895714
120,富贵园四区 3室2厅 1550万,富贵园四区 , 3室2厅 , 140.55 ,41,26, 1个月以前发布,1550.0,110282,东城,116.441193,39.900437
121,和平里七区 1室1厅 490万,和平里七区 , 1室1厅 , 42.5 ,46,15, 10天以前发布,490.0,115295,东城,116.427853,39.966824
122,东直门十字坡西里，双南向高层小两居,十字坡西里 , 2室1厅 , 53.05 ,17,6, 10天以前发布,583.0,109897,东城,116.443423,39.945679
123,当代万国城  南北通透三居  私梯入户,万国城MOMA , 3室2厅 , 225.04 ,42,18, 2个月以前发布,2470.0,109759,东城,116.444857,39.954789
124,商品房社区西北小两居带产权车位,本家润园一期 , 2室1厅 , 83.05 ,86,65, 4个月以前发布,945.0,113787,东城,116.443355,39.90268
125,南北通透三居室，满五年，家庭仅此一套 明厨明卫,富贵园一区 , 3室2厅 , 161.16 ,26,15, 2个月以前发布,1900.0,117896,东城,116.440069,39.902423
126,光明楼南北通透两居 采光充足 户型方正,光明楼 , 2室1厅 , 64.8 ,171,38, 3个月以前发布,513.0,79167,东城,116.444721,39.890475
127,东城区东南朝向两居 业主自住 诚意出售,建予园 , 2室1厅 , 77.79 ,184,62, 4个月以前发布,510.0,65562,东城,116.402567,39.869745
128,和平里七区 南北通透 中间楼层 采光好无遮挡,和平里七区 , 2室1厅 , 60.59 ,126,52, 2个月以前发布,600.0,99027,东城,116.427853,39.966824
129,南北通透四居复式，客厅宽敞明亮，业主诚心出售,南弓匠营胡同 , 4室2厅 , 116.37 ,59,14, 28天以前发布,1300.0,111713,东城,116.434583,39.931714
130,枣苑商品房西北三居，满五年低税费，崇文小学,花市枣苑一期 , 3室2厅 , 135.72 ,22,6, 7个月以前发布,1250.0,92102,东城,116.435751,39.902151
131,金世纪嘉园小区，西南两居室，楼层好，无遮挡,金世纪嘉园 , 2室2厅 , 112 ,138,38, 4个月以前发布,920.0,82143,东城,116.4515,39.904606
132,和平里二区 东向两居室 有地下停车位 ,和平里二区 , 2室1厅 , 90.16 ,164,36, 2个月以前发布,836.0,92725,东城,116.429963,39.963815
133,民安小区  景山北校 东西通透两居室 带电梯 交通方便,民安小区东直门北中街 , 2室1厅 , 77.97 ,102,18, 1个月以前发布,735.0,94268,东城,116.435611,39.948432
